GSE105951_PD78,GSE64553_MRC5_PD52,GSE63577_BJ,GSE63577_MRC5,GSE63577_HFF,GSE130727_WI38,GSE130727_IMR90,voic_epithelia_sen,GSE109700_early_sen,GSE109700_deep_sen,GSE63577_WI38,GSE64553_HFF_PD74,GSE63577_IMR90
GALNT5,ITGA8,LOXL4,NPTX1,PSG5,COLEC10,TNFSF4,FOLR3,TNFSF4,COLEC10,TNFRSF11B,PSG1,TNFRSF11B
TNFSF4,TNFSF4,PSG5,COLEC10,LOXL4,TNFRSF11B,TLR9,IL1A,PRSS35,TNFSF4,COLEC10,PSG4,COLEC10
COLEC10,TNFRSF11B,TNFRSF11B,TNFRSF11B,TNFRSF11B,PCDHGA9,COLEC10,ANGPTL4,TNFRSF11B,PSG5,PSG4,PSG5,TNFSF4
PSG4,NPTX1,TNFSF18,TNFSF4,PSG1,PSG4,BDNF,CLCA2,LOXL4,NPTX1,GALNT5,TNFRSF11B,NPTX1
LRRC15,COLEC10,L1CAM,SLC14A1,TRPC6,PCDHGB1,TRHDE,WNT7A,PDCD1LG2,PLAT,ITGA8,PSG8,TNFSF18
TNFRSF11B,TNFSF18,MOXD1,GALNT5,SFRP4,GALNT5,GPR39,ZPLD1,PSG5,IL1A,TNFSF4,PSG6,PSG4
CHRNA1,GALNT5,CD248,TRHDE,LRRN4CL,PCDHGC5,TNFRSF11B,AREG,PLAT,TNFRSF11B,LRRN4CL,L1CAM,MFAP4
PDCD1LG2,HLA-G,PSG1,CD248,MOXD1,ITGA8,ITGA8,ITGB6,TEK,TEK,PLAT,CD248,TRHDE
TRHDE,TRHDE,MXRA5,PSG1,CTSK,TEK,GALNT5,TSPAN1,IL1A,CDH10,TRHDE,LOXL4,CD248
LOX,TEK,SFRP4,TNFSF18,LRRC15,TNFSF18,PSG4,ULBP2,ULBP1,BDNF,TEK,INHBE,VCAM1
BDNF,SLC14A1,SULF1,SCN5A,MXRA5,ITGBL1,HLA-G,TACSTD2,ITGBL1,PRSS35,SLC14A1,LRRC15,BDNF
TRPC6,PSG1,LUM,PSG5,RECK,PCDHGA8,WNT5B,FGFBP1,ANGPTL4,PDCD1LG2,CD248,GFRA1,HLA-G
WNT5B,CD248,LAYN,HLA-G,L1CAM,PLAT,TEK,RAET1G,OSCAR,LOXL4,BDNF,SULF1,EMILIN1
PRSS35,PSG5,WNT5B,ITGA8,CD248,PCDHGA12,TRPC6,ULBP3,BDNF,ANGPTL4,ICAM5,WNT5A,ITGA11
TEK,MOXD1,PDCD1LG2,WNT5B,IL17RB,DPP4,PDCD1LG2,LYPD3,MFAP5,SUCNR1,NPTX1,MXRA5,GALNT5
PSG5,BMP2,SERPINB2,MOXD1,LAYN,SLC14A1,MYL6B,ACKR3,INHBE,SERPINB2,SFRP1,TRHDE,TEK
PLAT,PDCD1LG2,WNT5A,PDCD1LG2,PRELP,GPR39,WNT5A,LAMC2,OLR1,GREM1,NID2,LUM,PLAT
ANGPT1,PCDH18,SGCD,BMP2,JAM2,BDNF,ANGPT1,SLAMF9,ZPLD1,TNFRSF10D,HLA-G,PSG3,MRGPRF
WNT5A,PLAT,TRHDE,PLAT,NLGN4Y,CEACAM19,LRRC24,SLITRK6,TRPC4,GALNT5,WNT5B,RECK,NID2
DCBLD2,EMILIN1,GALNT5,BDNF,CNTN3,HLA-G,MRGPRF,HSD11B1,TNFRSF10D,LOX,MRGPRF,PSG7,SGCD
SFRP1,SCN5A,FBLN2,SFRP1,MRGPRF,TNFSF4,EMILIN1,SERPINA3,THBS2,ULBP2,MOXD1,GRIA1,PDCD1LG2
COL11A1,WNT5B,CTSK,MRGPRF,KCNN2,CTSK,PCDH18,TFPI2,MXRA5,OLR1,SCNN1D,GLT8D2,WNT5B
ULBP3,MRGPRF,MRGPRF,EMILIN1,LUM,PCDHGB4,LAYN,VEGFC,ULBP2,ULBP1,PCDHGB4,LAYN,LOX
OLR1,ITGA11,LOX,ELFN2,WNT5A,MOXD1,PSG5,SERPINB2,LOX,ANGPT1,CNTN3,PDCD1LG2,SFRP1
ANGPTL4,ELFN2,TRPC4,ACVRL1,ADRA2A,PDCD1LG2,NPTX1,,CDH10,IGFBP3,PDCD1LG2,CD34,WNT5A
RELL1,HSD17B2,PTGS2,ITGA11,SULF1,PCDH18,GREM1,,GREM1,SULF1,TNFSF18,LOX,GREM1
MXRA5,GLT8D2,LAMA2,PCDHGB4,GRIA1,DCBLD2,TNFRSF10D,,ADAMTS15,HHIP,SCN5A,HLA-G,ICAM5
LAYN,BDNF,LRRN4CL,PLAU,WNT2,SFRP1,DCBLD2,,ICAM5,MFAP5,GPR37,WNT5B,LPAR1
VEGFC,PLAU,THBS2,TEK,GREM1,PDGFRA,PLAT,,ITGA11,MXRA5,GREM1,PTGS2,MOXD1
GFRA1,LPAR1,RECK,CTSK,LOX,GLT8D2,ITGA1,,NPTX1,TRHDE,EMILIN1,PEAR1,PCDH18
IGFBP3,SGCD,SLC22A4,NLGN4Y,THBS2,VCAM1,SLC4A4,,GPR176,GPR176,TNFRSF10D,COL1A2,ANGPTL2
CD248,SCN7A,GLT8D2,CLEC14A,TNXB,CNTN3,SGCD,,SULF1,TRPC4,LAYN,MOXD1,RECK
RECK,GFRA1,GREM1,CNTN3,MFAP4,PCDHGB7,PDGFRA,,BST1,MRGPRF,GLT8D2,ADGRA2,ELFN2
GPR37,ABCC4,EMILIN1,ANGPTL2,FBLN2,CDH6,GPR37,,NTM,SCN2A,ACVRL1,FBLN2,LAYN
PDGFRA,NLGN4Y,S1PR3,GPR37,WNT5B,LPAR1,SFRP1,,TRHDE,VEGFC,ANGPT1,SGCD,S1PR3
TNFRSF10D,IGDCC4,GRIA1,ADGRA2,APCDD1,CHRNA1,LOX,,GFRA1,THBS2,ITGBL1,GREM1,ADGRA2
THBS1,CDH13,KCNN2,GFRA1,S1PR3,TRHDE,LPAR1,,POSTN,RECK,SRPX,MRGPRF,LUM
SGCD,CTSK,COL11A1,DKK3,ROBO2,NID2,PLAU,,RECK,PTPRB,FGL2,ICAM5,CNTN3
SLC1A1,LOX,NID2,MFGE8,GALNT5,WNT5B,COL12A1,,VEGFC,BST1,MDGA1,GALNT5,ANGPT1
ITGBL1,ANGPTL2,CNTNAP1,LAYN,PDCD1LG2,HSD17B2,GPR176,,FBLN2,SLC1A1,LPAR1,LAMA2,PDGFRA
SCUBE3,GPR37,DPP4,PCDH18,ADGRA2,SEMA3A,GFRA1,,IGFBP3,GFRA1,BMP2,BDNF,VASN
ITGA11,COL6A3,CNTN3,THY1,GLT8D2,PSG1,FAT4,,CDH4,FBLN2,ANGPTL2,EMILIN1,SCN5A
NT5E,ACVRL1,CLSTN2,LPAR1,APOD,MXRA5,ITGB3,,GALNT5,ZPLD1,SCARF2,ITGA11,SCARF2
SEMA3A,CNTN3,COLEC12,GLT8D2,PCDHGA12,ACVRL1,DKK3,,SERPINB2,VCAM1,RECK,WNT2,GFRA1
NID2,ADGRA2,NLGN4Y,CNTNAP1,EMILIN1,ANGPT1,COL11A1,,CD274,CSF2RB,THY1,ACKR3,LOXL4
SRPX2,FGF10,THY1,ICAM5,TRHDE,ROBO2,COL6A3,,COLEC10,ITGA2,SLC1A1,GPR176,GPR37
GREM1,LAYN,PEAR1,LRRC15,SGCD,IL31RA,VCAM1,,ADGRA2,POSTN,PSG1,TRPC6,F2R
SLC4A4,PDGFRA,GPR176,COL11A1,BDNF,SLC4A4,FBN2,,LUM,COL11A1,PSG8,COL12A1,SCN7A
LPAR1,NTM,VEGFC,SRPX,ANGPTL2,VEGFC,CD248,,PTPRB,ITGBL1,COL11A1,CNTNAP1,PLAU
CNTN3,F2R,COL12A1,NTM,ISLR,PLAU,COL5A2,,MRGPRF,ITGB3,ADGRA2,COL5A3,DCN
MRGPRF,LRRC15,SLIT2,CD163L1,THBS1,DKK3,THY1,,COL11A1,CD274,DCN,COLEC12,PRSS35
ITGA2,LTBP1,GFRA1,SCARF2,THY1,NT5E,DCN,,CNTNAP1,ADAMTS15,PCDH18,PPFIA4,LAMA1
PCDH18,CNTNAP1,BDNF,PDGFRA,NID2,ANGPTL2,COL1A2,,SEMA7A,NTM,A2M,COL7A1,THY1
LUM,ADAMTS7,ADGRA2,DCBLD2,COLEC12,MFAP4,ITGBL1,,VCAM1,SRPX2,ROBO2,CSPG4,COL6A2
FAT4,VCAM1,COL5A3,DPP4,DCN,CD44,TFPI2,,LAYN,PDGFRA,PEAR1,IGFBP3,PDGFRB
CLEC14A,DKK3,TRPC6,MFAP4,ACVRL1,LTBP1,NT5E,,COL3A1,PTGS2,DKK3,CXCL12,COL12A1
PLOD2,MFAP4,ANPEP,GPR176,GPR176,SRPX2,COL3A1,,SLC1A1,SCN4B,DPP4,THY1,QSOX1
LOXL4,COL6A2,VASN,COL6A2,ITGBL1,SERPINB2,COL6A2,,EMILIN1,LAYN,FAM171A2,BGN,WNT2
DPP4,CMKLR1,KCNK2,WNT5A,VASN,LUM,,,SCARF2,CDH6,MFGE8,VASN,FBN2
GPR176,COL12A1,MFAP5,COL1A2,COL12A1,DCN,,,PEAR1,EPHA4,PDGFRA,NLGN4Y,NTM
IL7R,SCARF2,COL6A3,SGCD,COL11A1,COL12A1,,,AMIGO2,THBS1,GPR176,COL3A1,GPR176
ITGB3,COL7A1,CSPG4,ANGPT1,SERPINB2,,,,CSF2RB,EPHA5,CDH6,NID2,COL6A3
ADAM19,LAMA1,SFRP1,LTBP1,SERPINE2,,,,ASPN,CDCP1,VASN,MXRA8,ITGBL1
EMILIN1,THSD4,COL7A1,NID2,SEMA5A,,,,PPFIA4,PCDHGB5,GPC4,THBS2,LRRC15
ZPLD1,PCDHGB4,COL1A2,COL7A1,HLA-G,,,,THBS1,COL3A1,SLC4A4,MFAP4,ITGA8
ELFN2,CSPG4,MXRA8,KIT,ACKR3,,,,WNT5B,FAT4,LTBP1,AEBP1,DKK3
COL12A1,DPP4,SERPINE2,TNFRSF10D,IGFBP3,,,,TSPAN2,TFPI2,PLAU,MRC2,COL7A1
COL1A2,EDNRA,COL3A1,CSPG4,NFASC,,,,ADAM19,TYRP1,GFRA1,PDGFRB,MXRA8
LTBP1,GPR176,PSG6,MXRA8,AEBP1,,,,CDH11,LUM,CSPG4,COL5A1,LTBP1
DKK3,MXRA5,PCDH18,TRPV2,CLCA2,,,,AGTR1,WNT5B,PSG6,TRPC4,PTGER2
VCAM1,A2M,IGFBP3,SRPX2,MXRA8,,,,ANGPT1,SLC4A4,MFAP4,COL5A2,VEGFC
COL6A3,FBN2,CLCA2,A2M,FBN2,,,,ADAM12,DPP4,EPHA5,COL6A3,ITGA2
TNFSF18,COL1A2,MRC2,SLC6A15,KCNK2,,,,CHRNA1,LTBP1,TFPI2,PCDH18,COL1A2
NTM,SEMA3A,AEBP1,COL6A3,PDGFRB,,,,ITGA7,ELFN2,WNT5A,ANGPTL2,SRPX2
THY1,THY1,PDGFRB,GREM1,SLIT2,,,,ITGB3,FBN1,COL12A1,EFEMP1,BGN
COL3A1,SLC4A4,COL6A2,COL12A1,ELFN2,,,,CSPG4,WNT5A,SRPX2,COL6A2,COL3A1
SERPINB2,TRPV2,ITGBL1,VEGFC,PSG6,,,,PCDHGB4,CHRNA1,NT5E,FBN1,COL14A1
COL6A2,SRPX,FBN1,DCN,GFRA1,,,,THY1,HEG1,SGCD,COL1A1,POSTN
PLAU,VEGFC,COL5A2,PDGFRB,COL6A2,,,,CDH13,CDH11,COL1A2,CDH11,SRPX
SLC6A15,PTGER2,DKK3,AEBP1,GPNMB,,,,FBN1,DDR2,COL6A2,ANPEP,COL1A1
COL5A1,DCN,COL1A1,TFPI2,PTGS2,,,,NID2,PSG1,FN1,CDH2,COL5A2
FBN1,SLITRK6,DCN,COL1A1,PSG8,,,,WNT5A,COL5A2,COL1A1,,COL6A1
COL5A2,WNT5A,FKBP10,FN1,COL1A2,,,,COL5A1,SRPX,,,COL5A1
,FKBP10,CDH11,COL3A1,PDGFRA,,,,PDGFRB,COL1A2,,,COL11A1
,NT5E,COL5A1,,SFRP1,,,,CCDC80,SFRP1,,,PXDN
,PDGFRB,,,DPP4,,,,PDGFRA,COL6A3,,,
,COL3A1,,,COL3A1,,,,LTBP1,EFEMP1,,,
,PXDN,,,MRC2,,,,COL1A2,PDGFRB,,,
,COL1A1,,,PCDH18,,,,DPP4,THY1,,,
,FN1,,,SERPING1,,,,TPBG,CXCL12,,,
,,,,CDH11,,,,HEG1,CDH2,,,
,,,,DKK3,,,,COL5A2,DKK3,,,
,,,,COL1A1,,,,SLAMF7,FN1,,,
,,,,EFEMP1,,,,MRC2,,,,
,,,,,,,,SRPX2,,,,
,,,,,,,,CXCL12,,,,
,,,,,,,,FKBP10,,,,
,,,,,,,,DDR2,,,,
,,,,,,,,COL6A3,,,,
,,,,,,,,NT5E,,,,
,,,,,,,,CDH2,,,,
,,,,,,,,COL6A2,,,,
,,,,,,,,COL1A1,,,,
,,,,,,,,DKK3,,,,
,,,,,,,,FN1,,,,
