GSE63577_BJ_transcripts,GSE63577_IMR90_transcripts,voic_epithelia_sen_transcripts,GSE63577_HFF_transcripts,GSE105951_PD78_transcripts,GSE130727_IMR90_transcripts,GSE130727_WI38_transcripts,GSE64553_MRC5_transcripts,GSE109700_early_sen_transcripts,GSE109700_deep_sen_transcripts,GSE64553_HFF_transcripts,GSE63577_MRC5_transcripts,GSE63577_WI38_transcripts
ENST00000488683 - CLIC4,ENST00000466397 - RPL29,ENST00000409170 - RPL36A-HNRNPH2,ENST00000559004 - ACAN,ENST00000320481 - ARHGAP21,ENST00000624354 - VCL,ENST00000614327 - HSP90B1,ENST00000616279 - ROCK2,ENST00000524698 - TXNRD1,ENST00000538118 - BCAT1,ENST00000620755 - NOMO1,ENST00000514940 - ADD1,ENST00000554167 - FRMD6
ENST00000320481 - ARHGAP21,ENST00000354558 - CKAP5,ENST00000539778 - CMIP,ENST00000636945 - SCN8A,ENST00000616279 - ROCK2,ENST00000618282 - MAGT1,ENST00000495273 - ROBO1,ENST00000615393 - missing,ENST00000433736 - ITGAV,ENST00000352040 - ADAMTS12,ENST00000547211 - RPLP0,ENST00000466397 - RPL29,ENST00000586501 - KIAA1328
ENST00000306090 - GNAS,ENST00000611931 - NBPF19,ENST00000534980 - DDX6,ENST00000354558 - CKAP5,ENST00000454108 - CALD1,ENST00000625282 - SPTAN1,ENST00000604952 - MTRNR2L6,ENST00000558492 - PPIB,ENST00000487661 - HEG1,ENST00000447879 - MPDZ,ENST00000599371 - PSG4,ENST00000560441 - UACA,ENST00000406957 - XPO1
ENST00000534555 - RPS3,ENST00000318424 - CD276,ENST00000336643 - SLC39A9,ENST00000536159 - CITED2,ENST00000409170 - RPL36A-HNRNPH2,ENST00000629385 - ABCC4,ENST00000417172 - CALD1,ENST00000320481 - ARHGAP21,ENST00000372915 - MACF1,ENST00000416123 - COL12A1,ENST00000553059 - NTN4,ENST00000604604 - MORC4,ENST00000274487 - ADAMTS19
ENST00000537463 - FBN1,ENST00000558492 - PPIB,ENST00000448528 - DLG1,ENST00000614329 - NBPF14,ENST00000513960 - VCAN,ENST00000395554 - missing,ENST00000510810 - missing,ENST00000402934 - LTBP1,ENST00000538383 - NTN4,ENST00000545641 - RIC1,ENST00000471562 - FILIP1L,ENST00000611931 - NBPF19,ENST00000591645 - TPM4
ENST00000604604 - MORC4,ENST00000591645 - TPM4,ENST00000433736 - ITGAV,ENST00000566753 - BLOC1S6,ENST00000220959 - UBR5,ENST00000324696 - ASCC3,ENST00000420633 - PDE5A,ENST00000604604 - MORC4,ENST00000634879 - EIF4G3,ENST00000494950 - PLOD2,ENST00000244296 - PSG1,ENST00000619499 - missing,ENST00000270077 - PSG9
ENST00000614329 - NBPF14,ENST00000320481 - ARHGAP21,ENST00000448666 - MOGS,ENST00000380785 - MID1,ENST00000355725 - THOC2,ENST00000522542 - YWHAZ,ENST00000590874 - CAPNS1,ENST00000547211 - RPLP0,ENST00000447879 - MPDZ,ENST00000634879 - EIF4G3,ENST00000553373 - FERMT2,ENST00000406957 - XPO1,ENST00000614329 - NBPF14
ENST00000536159 - CITED2,ENST00000605528 - RPS10-NUDT3,ENST00000321464 - ZBTB38,ENST00000485280 - RAB7A,ENST00000518809 - TACC1,ENST00000355725 - THOC2,ENST00000586501 - KIAA1328,ENST00000424248 - DENND3,ENST00000493452 - FLNB,ENST00000487661 - HEG1,ENST00000636945 - SCN8A,ENST00000540338 - missing,ENST00000582463 - RPL36
ENST00000380785 - MID1,ENST00000634879 - EIF4G3,ENST00000246533 - CAPNS1,ENST00000344528 - SH3BP4,ENST00000617924 - THBS2,ENST00000586501 - KIAA1328,ENST00000491591 - DPP4,ENST00000306090 - GNAS,ENST00000395898 - VPS13C,ENST00000321464 - ZBTB38,ENST00000406957 - XPO1,ENST00000547211 - RPLP0,ENST00000466397 - RPL29
ENST00000558492 - PPIB,ENST00000603246 - MTCO2P22,ENST00000398706 - ZSWIM8,ENST00000604646 - MTRNR2L11,ENST00000540338 - missing,ENST00000614911 - H3C6,ENST00000557538 - HIF1A,ENST00000544448 - MAN1B1,ENST00000497037 - ANKRD28,ENST00000471562 - FILIP1L,ENST00000451895 - PSG4,ENST00000615393 - missing,ENST00000600213 - MTRNR2L12
ENST00000548458 - C12orf75,ENST00000566753 - BLOC1S6,ENST00000259239 - IMP4,ENST00000547211 - RPLP0,ENST00000389993 - PSME4,ENST00000426482 - NBPF19,ENST00000537877 - DDB1,ENST00000524698 - TXNRD1,ENST00000507663 - EDIL3,ENST00000433736 - ITGAV,ENST00000490769 - PSG4,ENST00000297183 - ANKHD1,ENST00000578400 - DDX5
ENST00000521075 - ASAP1,ENST00000582463 - RPL36,ENST00000405289 - EHBP1,ENST00000414533 - QARS1,ENST00000544884 - BLTP2,ENST00000497037 - ANKRD28,ENST00000633113 - DDAH1,ENST00000330736 - ANKRD11,ENST00000618282 - MAGT1,ENST00000405269 - SLC8A1,ENST00000391877 - DEGS1,ENST00000534555 - RPS3,ENST00000605528 - RPS10-NUDT3
ENST00000566753 - BLOC1S6,ENST00000614329 - NBPF14,ENST00000265112 - TARS1,ENST00000534555 - RPS3,ENST00000439203 - DST,ENST00000331442 - H1-5,ENST00000382041 - NIN,ENST00000560441 - UACA,ENST00000321464 - ZBTB38,ENST00000424646 - NR3C1,ENST00000436291 - PSG1,ENST00000464788 - GNAS,ENST00000615393 - missing
ENST00000503277 - RPL9,ENST00000604646 - MTRNR2L11,ENST00000502717 - HMGXB3,ENST00000513319 - LOX,ENST00000508624 - APC,ENST00000509647 - FAT1,ENST00000588507 - missing,ENST00000317840 - COL3A1,ENST00000416123 - COL12A1,ENST00000371144 - STAG2,ENST00000558492 - PPIB,ENST00000487661 - HEG1,ENST00000636945 - SCN8A
ENST00000582463 - RPL36,ENST00000503277 - RPL9,ENST00000324194 - SLC25A36,ENST00000306090 - GNAS,ENST00000624354 - VCL,ENST00000406957 - XPO1,ENST00000483906 - RAB7A,ENST00000557135 - WARS1,ENST00000432738 - SERPINE2,ENST00000520226 - DLC1,ENST00000582463 - RPL36,ENST00000578400 - DDX5,ENST00000503277 - RPL9
ENST00000508075 - NEDD4,ENST00000297183 - ANKHD1,ENST00000455727 - LDLR,ENST00000591645 - TPM4,ENST00000589629 - CDC37,ENST00000359671 - FN1,ENST00000536202 - TAOK1,ENST00000514940 - ADD1,ENST00000538004 - NEK7,ENST00000618282 - MAGT1,ENST00000466397 - RPL29,ENST00000282633 - WASHC2A,ENST00000592984 - HSPB6
ENST00000604646 - MTRNR2L11,ENST00000508075 - NEDD4,ENST00000595018 - HNRNPUL1,ENST00000621109 - PSG9,ENST00000391877 - DEGS1,ENST00000537463 - FBN1,ENST00000529970 - ARHGEF12,ENST00000344528 - SH3BP4,ENST00000523412 - FAM83A,ENST00000536525 - NAV3,ENST00000528249 - NPIPB5,ENST00000612232 - SLC38A2,ENST00000468379 - NIBAN2
ENST00000393807 - GASK1B,ENST00000414306 - SBDS,ENST00000397238 - AGAP3,ENST00000399974 - MTRNR2L4,ENST00000620755 - NOMO1,ENST00000430328 - RIF1,ENST00000454202 - RND3,ENST00000297183 - ANKHD1,ENST00000540338 - missing,ENST00000401753 - ROCK2,ENST00000495316 - PSG4,ENST00000355725 - THOC2,ENST00000318424 - CD276
ENST00000578400 - DDX5,ENST00000586501 - KIAA1328,ENST00000361242 - ATG9A,ENST00000466397 - RPL29,ENST00000483966 - HNRNPU,ENST00000409232 - TGOLN2,ENST00000503795 - RASGRF2,ENST00000282633 - WASHC2A,ENST00000373701 - OGT,ENST00000565324 - SMG1,ENST00000536159 - CITED2,ENST00000614329 - NBPF14,ENST00000536159 - CITED2
ENST00000614010 - missing,ENST00000540040 - MTRNR2L1,ENST00000549920 - RPL18,ENST00000508067 - LOX,ENST00000427239 - COL11A1,ENST00000523582 - TRPA1,ENST00000508624 - APC,ENST00000370050 - TMEM30A,ENST00000520226 - DLC1,ENST00000220959 - UBR5,ENST00000525061 - SULF1,ENST00000318424 - CD276,ENST00000509155 - nan
ENST00000399974 - MTRNR2L4,ENST00000570760 - nan,ENST00000536684 - MTRNR2L8,ENST00000518783 - GRIA1,ENST00000514032 - CANX,ENST00000527805 - ATM,ENST00000344528 - SH3BP4,ENST00000318424 - CD276,ENST00000409151 - SPATS2L,ENST00000264441 - PCYOX1,ENST00000482512 - GOLGB1,ENST00000582463 - RPL36,ENST00000534555 - RPS3
ENST00000636945 - SCN8A,ENST00000399974 - MTRNR2L4,ENST00000256496 - ARL8B,ENST00000612334 - CERCAM,ENST00000432855 - PSMD2,ENST00000244537 - H4C6,ENST00000524534 - PTPRK,ENST00000614329 - NBPF14,ENST00000424646 - NR3C1,ENST00000359671 - FN1,ENST00000614010 - missing,ENST00000524698 - TXNRD1,ENST00000402934 - LTBP1
ENST00000490286 - DPP4,ENST00000578400 - DDX5,ENST00000395868 - PTHLH,ENST00000540040 - MTRNR2L1,ENST00000401753 - ROCK2,ENST00000344730 - ABL2,ENST00000521075 - ASAP1,ENST00000485280 - RAB7A,ENST00000618471 - ACAP2,ENST00000507166 - nan,ENST00000380785 - MID1,ENST00000539277 - TMTC1,ENST00000558492 - PPIB
ENST00000524698 - TXNRD1,ENST00000369850 - FLNA,ENST00000457722 - NECAP2,ENST00000559966 - CEMIP,ENST00000464654 - TM9SF3,ENST00000540756 - TTC3,ENST00000520611 - TACC1,ENST00000549338 - SLC25A3,ENST00000357244 - RC3H2,ENST00000320481 - ARHGAP21,ENST00000320481 - ARHGAP21,ENST00000264441 - PCYOX1,ENST00000520036 - ACTBP6
ENST00000409170 - RPL36A-HNRNPH2,ENST00000589037 - RPL27,ENST00000521764 - NACA2,ENST00000389993 - PSME4,ENST00000372419 - PRPS1,ENST00000512211 - APC,ENST00000409435 - SCN9A,ENST00000554167 - FRMD6,ENST00000612232 - SLC38A2,ENST00000612232 - SLC38A2,ENST00000611931 - NBPF19,ENST00000401753 - ROCK2,ENST00000344528 - SH3BP4
ENST00000540914 - RIPOR2,ENST00000409151 - SPATS2L,ENST00000345598 - APLP2,ENST00000586501 - KIAA1328,ENST00000524280 - TNIP1,ENST00000523619 - PSD3,ENST00000587974 - EPG5,ENST00000338051 - C5orf24,ENST00000401753 - ROCK2,ENST00000540338 - missing,ENST00000521075 - ASAP1,ENST00000568530 - PDPR,ENST00000320481 - ARHGAP21
ENST00000489607 - CAPZB,ENST00000409170 - RPL36A-HNRNPH2,ENST00000377313 - MEN1,ENST00000443913 - CTSK,ENST00000621674 - RPL13A,ENST00000454967 - SAMD13,ENST00000536684 - MTRNR2L8,ENST00000488683 - CLIC4,ENST00000371144 - STAG2,ENST00000409151 - SPATS2L,ENST00000318424 - CD276,ENST00000409232 - TGOLN2,ENST00000637426 - missing
ENST00000488500 - EEF1A1,ENST00000357370 - NPIPB5,ENST00000269468 - MBD1,ENST00000605528 - RPS10-NUDT3,ENST00000471562 - FILIP1L,ENST00000423833 - missing,ENST00000537919 - ACLY,ENST00000553373 - FERMT2,ENST00000264441 - PCYOX1,ENST00000512512 - IGFBP7,ENST00000614102 - FAT1,ENST00000320481 - ARHGAP21,ENST00000303915 - ZNF3
ENST00000520036 - ACTBP6,ENST00000402934 - LTBP1,ENST00000424922 - CALD1,ENST00000406957 - XPO1,ENST00000377083 - KIF1B,ENST00000389993 - PSME4,ENST00000320481 - ARHGAP21,ENST00000540338 - missing,ENST00000557206 - HIF1A,ENST00000331505 - missing,ENST00000487661 - HEG1,ENST00000533129 - CAPN1,ENST00000514505 - BTF3
ENST00000586501 - KIAA1328,ENST00000558397 - RPS17,ENST00000303210 - GNB2,ENST00000350009 - ADAM33,ENST00000534980 - DDX6,ENST00000496221 - GOLGA2,ENST00000560411 - CHP1,ENST00000612232 - SLC38A2,ENST00000508515 - ERBIN,ENST00000508515 - ERBIN,ENST00000488500 - EEF1A1,ENST00000338051 - C5orf24,ENST00000409170 - RPL36A-HNRNPH2
ENST00000616279 - ROCK2,ENST00000380635 - TMSB4X,ENST00000461010 - PPP2R5D,ENST00000489607 - CAPZB,ENST00000398123 - ADD1,ENST00000618305 - H4C13,ENST00000600213 - MTRNR2L12,ENST00000437974 - ARHGEF28,ENST00000553059 - NTN4,ENST00000509814 - ITGA2,ENST00000310351 - CCDC14,ENST00000330736 - ANKRD11,ENST00000465539 - ZNF271P
ENST00000464788 - GNAS,ENST00000359218 - TTN,ENST00000311528 - RPL13,ENST00000536684 - MTRNR2L8,ENST00000470542 - CPA4,ENST00000336643 - SLC39A9,ENST00000414679 - PLCB4,ENST00000464788 - GNAS,ENST00000320481 - ARHGAP21,ENST00000502949 - SEL1L3,ENST00000604604 - MORC4,ENST00000506154 - NEDD4,ENST00000589037 - RPL27
ENST00000558397 - RPS17,ENST00000547211 - RPLP0,ENST00000438925 - MMS19,ENST00000555014 - HIF1A,ENST00000556506 - PSMA6,ENST00000523833 - LOXL2,ENST00000549338 - SLC25A3,ENST00000617198 - DDX1,ENST00000265344 - KCTD20,ENST00000521195 - FZD6,ENST00000634879 - EIF4G3,ENST00000424248 - DENND3,ENST00000244295 - PSG4
ENST00000540040 - MTRNR2L1,ENST00000582193 - RPL19,ENST00000574367 - ANKFY1,ENST00000593482 - PSG2,ENST00000565324 - SMG1,ENST00000560523 - UACA,ENST00000448782 - NFE2L2,ENST00000262209 - TRPA1,ENST00000382041 - NIN,ENST00000373701 - OGT,ENST00000405269 - SLC8A1,ENST00000566753 - BLOC1S6,ENST00000612334 - CERCAM
ENST00000558132 - ANXA2,ENST00000572008 - RPS15A,ENST00000539239 - PTHLH,ENST00000614010 - missing,ENST00000441303 - DCN,ENST00000574721 - ADCY9,ENST00000579081 - NF1,ENST00000514505 - BTF3,ENST00000406359 - TEK,ENST00000382041 - NIN,ENST00000600817 - PSG5,ENST00000544448 - MAN1B1,ENST00000380635 - TMSB4X
ENST00000370055 - L1CAM,ENST00000586807 - NARS1,ENST00000333432 - POLR2J2,ENST00000540914 - RIPOR2,ENST00000537463 - FBN1,ENST00000395986 - BDNF,ENST00000434476 - SCRN1,ENST00000508075 - NEDD4,ENST00000355725 - THOC2,ENST00000355725 - THOC2,ENST00000342951 - PSG5,ENST00000553373 - FERMT2,ENST00000405312 - PSG4
ENST00000297183 - ANKHD1,ENST00000441246 - POLR2B,ENST00000615116 - SCAND1,ENST00000525697 - SBF2,ENST00000494950 - PLOD2,ENST00000447540 - CHD9,ENST00000317516 - TPM1,ENST00000507166 - nan,ENST00000524845 - PPP6R3,ENST00000618471 - ACAP2,ENST00000597009 - PSG3,ENST00000572882 - ABCC1,ENST00000360304 - MYLK
ENST00000344528 - SH3BP4,ENST00000617924 - THBS2,ENST00000498623 - ARPC4,ENST00000582463 - RPL36,ENST00000562090 - GLG1,ENST00000575659 - ACTG1,ENST00000495235 - PDCD6IP,ENST00000545208 - TJP1,ENST00000502949 - SEL1L3,ENST00000357244 - RC3H2,ENST00000614329 - NBPF14,ENST00000402934 - LTBP1,ENST00000570760 - nan
ENST00000605528 - RPS10-NUDT3,ENST00000514505 - BTF3,ENST00000310351 - CCDC14,ENST00000360304 - MYLK,ENST00000472398 - TTC3,ENST00000518398 - DST,ENST00000562023 - ARL2BP,ENST00000401753 - ROCK2,ENST00000507166 - nan,ENST00000406957 - XPO1,ENST00000394649 - MYO1D,ENST00000468379 - NIBAN2,ENST00000538577 - SLC35B2
ENST00000360304 - MYLK,ENST00000536684 - MTRNR2L8,ENST00000294119 - UBXN1,ENST00000405162 - RCAN2,ENST00000508075 - NEDD4,ENST00000317840 - COL3A1,ENST00000539277 - TMTC1,ENST00000447879 - MPDZ,ENST00000220959 - UBR5,ENST00000306349 - BMP1,ENST00000330736 - ANKRD11,ENST00000485280 - RAB7A,ENST00000409960 - SERF2
ENST00000502717 - HMGXB3,ENST00000282633 - WASHC2A,ENST00000296871 - CSF2,ENST00000558492 - PPIB,ENST00000508515 - ERBIN,ENST00000361265 - AJUBA,ENST00000342945 - BCAT1,ENST00000409435 - SCN9A,ENST00000369850 - FLNA,ENST00000538004 - NEK7,ENST00000578400 - DDX5,ENST00000481390 - PLAU,ENST00000558397 - RPS17
ENST00000508515 - ERBIN,ENST00000636945 - SCN8A,ENST00000351748 - TNFRSF25,ENST00000357370 - NPIPB5,ENST00000406957 - XPO1,ENST00000306349 - BMP1,ENST00000496747 - ATP6V1A,ENST00000451430 - ANO10,ENST00000534980 - DDX6,ENST00000534980 - DDX6,ENST00000597912 - PSG4,ENST00000594442 - ZFP36,ENST00000271877 - UBAP2L
