Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Diverticular disease	4/156	1.3763616494119176E-4	0.016249234854886368	0	0	17.380701754385964	154.53002631183796	BDNF;LRRC17;FOXL1;TBX5
Osteoprotegerin levels	2/14	2.5201247409397716E-4	0.016249234854886368	0	0	103.92708333333333	861.1431351844819	COLEC10;TNFRSF11B
Bone mineral density (paediatric, skull)	2/16	3.3161703785482386E-4	0.016249234854886368	0	0	89.07142857142857	713.5984003451846	COLEC10;TNFRSF11B
Bone mineral density	3/89	4.612821969683686E-4	0.016952120738587546	0	0	22.37059264816204	171.83971998392323	COL11A1;TNFRSF11B;FOXL1
Multiple system atrophy	2/23	6.939671793924918E-4	0.01731595508834273	0	0	59.36011904761905	431.73124430467266	FBN2;FOXL1
Atrial fibrillation	4/240	7.067736770752134E-4	0.01731595508834273	0	0	11.146892655367232	80.86847751174069	FBN2;FGF5;STC2;TBX5
Bone mineral density (spine)	2/35	0.0016113484332956527	0.03131687919394346	0	0	37.75189393939394	242.77049709098742	TNFRSF11B;FOXL1
Lumbar spine bone mineral density	2/36	0.0017043199561329774	0.03131687919394346	0	0	36.63970588235294	233.5630697638135	TNFRSF11B;FOXL1
Systemic juvenile idiopathic arthritis	2/42	0.0023144248687839266	0.03780227285680413	0	0	31.134375	188.94188315941037	COL11A1;FOXL1
Femoral neck bone mineral density	2/45	0.002652713619192561	0.03899489020213064	0	0	28.9578488372093	171.78294456046322	TNFRSF11B;FOXL1
Bone mineral density (hip)	2/54	0.0037978938019504445	0.05075367171697412	0	0	23.935096153846153	133.3976779195181	TNFRSF11B;FOXL1
Diastolic blood pressure (cigarette smoking interaction)	2/57	0.004222336614737493	0.051723623530534286	0	0	22.626136363636363	123.7053823319786	FGF5;TBX5
Systolic blood pressure	5/657	0.004760613255008441	0.05205693838880223	0	0	5.107361963190184	27.310999003924216	FBN2;FGF5;BDNF;SERPINB7;TBX5
Asthma	3/204	0.004957803656076403	0.05205693838880223	0	0	9.516129032258064	50.50012167867984	COLEC10;TNFSF4;TNFRSF11B
Systolic blood pressure (cigarette smoking interaction)	2/66	0.00562082408690962	0.05508407605171428	0	0	19.435546875	100.70095183375612	FGF5;TBX5
Monobrow	2/76	0.007389477349401047	0.06789082314762213	0	0	16.800675675675677	82.4526469576761	FGF5;GREM1
Percent mammographic density	1/6	0.010157908740538318	0.07859013604521752	0	0	120.97575757575757	555.2185648964451	TBX5
Depression and alcohol dependence	1/6	0.010157908740538318	0.07859013604521752	0	0	120.97575757575757	555.2185648964451	OXTR
Possible neuropathic pain in post total joint replacement surgery for osteoarthritis	1/6	0.010157908740538318	0.07859013604521752	0	0	120.97575757575757	555.2185648964451	FOXL1
Creatinine levels	2/97	0.011806700935729659	0.0803163988168576	0	0	13.073026315789473	58.032314670661705	FGF5;CEMIP
Vein graft stenosis in coronary artery bypass grafting	1/7	0.011841135434323054	0.0803163988168576	0	0	100.8080808080808	447.2023640851642	TNFSF4
Blood pressure	2/98	0.012039937445569573	0.0803163988168576	0	0	12.936197916666666	57.17186348229599	FGF5;TBX5
Osteoporosis-related phenotypes	1/8	0.013521584565055974	0.0803163988168576	0	0	86.40259740259741	371.8308142207318	TNFRSF11B
Pulse pressure	4/567	0.015114855375458957	0.0803163988168576	0	0	4.5951450562463	19.263202908638686	CHRM2;FBN2;FGF5;PAPPA
Immunoglobulin A vasculitis	1/9	0.01519926045554118	0.0803163988168576	0	0	75.59848484848484	316.4936999007962	STC2
Glomerular filtration rate	2/111	0.015253764144948022	0.0803163988168576	0	0	11.385894495412844	47.62638801630805	FGF5;CEMIP
Laryngeal squamous cell carcinoma	1/10	0.016874167453351394	0.0803163988168576	0	0	67.1952861952862	274.2892350890436	TBX5
Body mass index (SNP x SNP interaction)	1/10	0.016874167453351394	0.0803163988168576	0	0	67.1952861952862	274.2892350890436	BDNF
Heel bone mineral density	5/898	0.01702746822304766	0.0803163988168576	0	0	3.6824728733057883	14.998444890310978	FBN2;COLEC10;COL11A1;PAPPA;TNFRSF11B
Lateral ventricular volume in normal aging	1/11	0.018546309917010683	0.0803163988168576	0	0	60.472727272727276	241.13405880391542	FOXL1
Conotruncal heart defects	1/11	0.018546309917010683	0.0803163988168576	0	0	60.472727272727276	241.13405880391542	PAPPA
Bone properties (heel)	1/11	0.018546309917010683	0.0803163988168576	0	0	60.472727272727276	241.13405880391542	FOXL1
Mortality in heart failure	1/11	0.018546309917010683	0.0803163988168576	0	0	60.472727272727276	241.13405880391542	ADAMTS12
Colorectal cancer	2/124	0.01879450878530435	0.0803163988168576	0	0	10.165983606557377	40.40155585559051	GREM1;FOXL1
Cannabis dependence symptom count	1/12	0.020215692219209058	0.0803163988168576	0	0	54.972451790633606	214.4638136267328	SCN9A
Thrombin-activatable fibrinolysis inhibitor levels	1/12	0.020215692219209058	0.0803163988168576	0	0	54.972451790633606	214.4638136267328	TBX5
