Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
extracellular matrix organization (GO:0030198)	7/300	6.055800591370276E-7	3.50025274181202E-4	0	0	17.40753381367716	249.22503789902498	FBN2;GREM1;LOX;MMP1;COL11A1;ADAMTS12;LOXL2
regulation of chondrocyte differentiation (GO:0032330)	3/26	1.1361838379594155E-5	0.0022337663275675324	0	0	83.91164095371668	955.3550377395345	GREM1;ADAMTS12;LOXL2
collagen fibril organization (GO:0030199)	4/89	1.534090911957987E-5	0.0022337663275675324	0	0	31.185882352941178	345.69511603203784	GREM1;LOX;COL11A1;LOXL2
positive regulation of protein kinase C activity (GO:1900020)	2/5	2.796026355283031E-5	0.0022337663275675324	0	0	415.8958333333333	4360.553946283013	CEMIP;WNT5A
peptidyl-lysine oxidation (GO:0018057)	2/5	2.796026355283031E-5	0.0022337663275675324	0	0	415.8958333333333	4360.553946283013	LOX;LOXL2
regulation of protein kinase C activity (GO:1900019)	2/5	2.796026355283031E-5	0.0022337663275675324	0	0	415.8958333333333	4360.553946283013	CEMIP;WNT5A
extracellular structure organization (GO:0043062)	5/216	3.0241401394326896E-5	0.0022337663275675324	0	0	16.142343520183037	167.98204782924557	FBN2;LOX;MMP1;COL11A1;ADAMTS12
external encapsulating structure organization (GO:0045229)	5/217	3.091718100439491E-5	0.0022337663275675324	0	0	16.065387117761873	166.8261689551316	FBN2;LOX;MMP1;COL11A1;ADAMTS12
protein oxidation (GO:0018158)	2/11	1.5280264738462226E-4	0.009813325576479076	0	0	138.59027777777777	1217.7045381044284	LOX;LOXL2
positive regulation of cardiocyte differentiation (GO:1905209)	2/12	1.831680104570772E-4	0.010243821254430678	0	0	124.725	1073.2719376950276	GREM1;TBX5
negative regulation of cartilage development (GO:0061037)	2/14	2.5201247409397716E-4	0.010243821254430678	0	0	103.92708333333333	861.1431351844819	GREM1;ADAMTS12
sequestering of extracellular ligand from receptor (GO:0035581)	2/14	2.5201247409397716E-4	0.010243821254430678	0	0	103.92708333333333	861.1431351844819	FBN2;GREM1
positive regulation of multicellular organismal process (GO:0051240)	5/345	2.736319237074972E-4	0.010243821254430678	0	0	9.952332657200811	81.64621713526746	OXTR;TNFSF4;WNT5A;TBX5;LOXL2
regulation of epithelial to mesenchymal transition (GO:0010717)	3/76	2.8988633829197055E-4	0.010243821254430678	0	0	26.371630578877596	214.82387360798793	GREM1;TBX5;LOXL2
negative regulation of chondrocyte differentiation (GO:0032331)	2/15	2.9047409965205666E-4	0.010243821254430678	0	0	95.92788461538461	781.2363223590568	GREM1;ADAMTS12
negative regulation of cell differentiation (GO:0045596)	4/191	2.987099710164592E-4	0.010243821254430678	0	0	14.102673796791445	114.45782870704357	GREM1;WNT5A;ADAMTS12;TBX5
negative regulation of developmental process (GO:0051093)	3/77	3.012888604244317E-4	0.010243821254430678	0	0	26.013949433304273	210.90656239837483	GREM1;ALPK2;LOXL2
regulation of defense response (GO:0031347)	3/83	3.758138325641364E-4	0.012067799734559492	0	0	24.05564516129032	189.7128408476113	TNFSF4;WNT5A;ADAMTS12
cellular protein metabolic process (GO:0044267)	5/417	6.501998054871006E-4	0.019779762503765484	0	0	8.182959491128223	60.04844577598541	LOX;MMP1;STC2;PAPPA;LOXL2
proteoglycan metabolic process (GO:0006029)	2/26	8.886174067263165E-4	0.025681043054390548	0	0	51.932291666666664	364.8681683209649	FOXL1;ADAMTS12
cellular response to molecule of bacterial origin (GO:0071219)	3/115	9.731341016496843E-4	0.026784357654929408	0	0	17.15495391705069	118.96941091887605	TNFSF4;WNT5A;PDCD1LG2
cellular response to lipopolysaccharide (GO:0071222)	3/120	0.0011004930257989582	0.027808069436540402	0	0	16.417700578990903	111.83732699773195	TNFSF4;WNT5A;PDCD1LG2
negative regulation of interferon-gamma production (GO:0032689)	2/29	0.0011065494758484935	0.027808069436540402	0	0	46.155092592592595	314.1550386183129	TNFSF4;PDCD1LG2
regulation of response to external stimulus (GO:0032101)	3/130	0.001385774838042068	0.03312975293236404	0	0	15.11734823469647	99.49476460808202	TNFSF4;WNT5A;ADAMTS12
positive regulation of cytokine production involved in immune response (GO:0002720)	2/33	0.001432947791192216	0.03312975293236404	0	0	40.19153225806452	263.17501991690307	TNFSF4;WNT5A
positive regulation of production of molecular mediator of immune response (GO:0002702)	2/38	0.00189776395514496	0.042188752541299494	0	0	34.60069444444444	216.8452838625928	TNFSF4;WNT5A
positive regulation of ossification (GO:0045778)	2/40	0.0021011541850646455	0.044980263665457966	0	0	32.776315789473685	202.0747864077191	FBN2;WNT5A
regulation of chemokine production (GO:0032642)	2/42	0.0023144248687839266	0.04777634193418248	0	0	31.134375	188.94188315941037	TNFSF4;WNT5A
response to lipopolysaccharide (GO:0032496)	3/159	0.0024622694327887246	0.04907557697075458	0	0	12.28908188585608	73.81648186551259	TNFSF4;WNT5A;PDCD1LG2
heart development (GO:0007507)	3/164	0.0026879318205060843	0.05178748640841722	0	0	11.904427970346624	70.4621094125368	FOXL1;ALPK2;TBX5
supramolecular fiber organization (GO:0097435)	4/351	0.0028538328013142647	0.05220784439816386	0	0	7.538520653218059	44.16888865661336	GREM1;LOX;COL11A1;LOXL2
epithelial to mesenchymal transition (GO:0001837)	2/47	0.002890399689863743	0.05220784439816386	0	0	27.668055555555554	161.7574267086704	WNT5A;LOXL2
regulation of interleukin-10 production (GO:0032653)	2/48	0.003012866504729657	0.0527708133252649	0	0	27.065217391304348	157.1098878516162	TNFSF4;PDCD1LG2
mesenchymal cell differentiation (GO:0048762)	2/51	0.0033946654206806373	0.05770931215157083	0	0	25.404336734693878	144.43762858756824	WNT5A;LOXL2
sprouting angiogenesis (GO:0002040)	2/52	0.003526704480067964	0.058241005413693814	0	0	24.895	140.5918093795177	GREM1;LOXL2
positive regulation of chemokine production (GO:0032722)	2/53	0.003661116595332141	0.0587812608917216	0	0	24.40563725490196	136.9153101039388	TNFSF4;WNT5A
negative regulation of Wnt signaling pathway (GO:0030178)	3/191	0.0041264464146124604	0.06228042993042248	0	0	10.180851063829786	55.8963203370113	GREM1;WNT5A;ALPK2
positive regulation of cell junction assembly (GO:1901890)	2/57	0.004222336614737493	0.06228042993042248	0	0	22.626136363636363	123.7053823319786	BDNF;TBX5
regulation of bone mineralization (GO:0030500)	2/57	0.004222336614737493	0.06228042993042248	0	0	22.626136363636363	123.7053823319786	FBN2;GREM1
cellular response to tumor necrosis factor (GO:0071356)	3/194	0.004310064355046539	0.06228042993042248	0	0	10.019422394865732	54.57381438193792	TNFSF4;TNFRSF11B;ADAMTS12
regulation of inflammatory response (GO:0050727)	3/206	0.005094023155323627	0.06796065981393351	0	0	9.421420626092484	49.74215536293804	TNFSF4;WNT5A;ADAMTS12
positive regulation of T cell proliferation (GO:0042102)	2/66	0.00562082408690962	0.06796065981393351	0	0	19.435546875	100.70095183375612	TNFSF4;PDCD1LG2
negative regulation of multicellular organismal process (GO:0051241)	3/214	0.005661499349111794	0.06796065981393351	0	0	9.060541201651123	46.879842877092564	ALPK2;TBX5;LOXL2
cellular response to lipid (GO:0071396)	3/219	0.006034741065002127	0.06796065981393351	0	0	8.848566308243727	45.218141144869314	TNFSF4;WNT5A;PDCD1LG2
synapse assembly (GO:0007416)	2/69	0.006128004599806185	0.06796065981393351	0	0	18.5625	94.57382315557096	BDNF;WNT5A
positive regulation of lymphocyte proliferation (GO:0050671)	2/75	0.007202645338937849	0.06796065981393351	0	0	17.03167808219178	84.02249521013059	TNFSF4;PDCD1LG2
positive regulation of T cell activation (GO:0050870)	2/75	0.007202645338937849	0.06796065981393351	0	0	17.03167808219178	84.02249521013059	TNFSF4;PDCD1LG2
regulation of T cell proliferation (GO:0042129)	2/76	0.007389477349401047	0.06796065981393351	0	0	16.800675675675677	82.4526469576761	TNFSF4;PDCD1LG2
positive regulation of interleukin-6 production (GO:0032755)	2/76	0.007389477349401047	0.06796065981393351	0	0	16.800675675675677	82.4526469576761	TNFSF4;WNT5A
protein modification process (GO:0036211)	2/78	0.007769694961352618	0.06796065981393351	0	0	16.356907894736842	79.45407878009898	LOX;LOXL2
negative regulation of cellular response to growth factor stimulus (GO:0090288)	2/80	0.008158600634818514	0.06796065981393351	0	0	15.935897435897436	76.63067296308296	GREM1;ADAMTS12
positive regulation of cell population proliferation (GO:0008284)	4/474	0.008230655419472873	0.06796065981393351	0	0	5.530780141843971	26.547134246534313	FGF5;GREM1;TNFSF4;WNT5A
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	2/81	0.008356292787947148	0.06796065981393351	0	0	15.733386075949367	75.28016793376064	CHRM2;F2RL2
negative regulation of cardiac muscle cell proliferation (GO:0060044)	1/5	0.008471900201487836	0.06796065981393351	0	0	151.22727272727272	721.5053863184621	TBX5
positive regulation of cardioblast differentiation (GO:0051891)	1/5	0.008471900201487836	0.06796065981393351	0	0	151.22727272727272	721.5053863184621	TBX5
regulation of cardioblast differentiation (GO:0051890)	1/5	0.008471900201487836	0.06796065981393351	0	0	151.22727272727272	721.5053863184621	TBX5
bone marrow development (GO:0048539)	1/5	0.008471900201487836	0.06796065981393351	0	0	151.22727272727272	721.5053863184621	LRRC17
His-Purkinje system development (GO:0003164)	1/5	0.008471900201487836	0.06796065981393351	0	0	151.22727272727272	721.5053863184621	TBX5
regulation of cellular response to vascular endothelial growth factor stimulus (GO:1902547)	1/5	0.008471900201487836	0.06796065981393351	0	0	151.22727272727272	721.5053863184621	ADAMTS12
CD4-positive, alpha-beta T cell activation (GO:0035710)	1/5	0.008471900201487836	0.06796065981393351	0	0	151.22727272727272	721.5053863184621	TNFSF4
regulation of endothelial tube morphogenesis (GO:1901509)	1/5	0.008471900201487836	0.06796065981393351	0	0	151.22727272727272	721.5053863184621	ADAMTS12
negative regulation of regulatory T cell differentiation (GO:0045590)	1/5	0.008471900201487836	0.06796065981393351	0	0	151.22727272727272	721.5053863184621	TNFSF4
regulation of hormone metabolic process (GO:0032350)	1/5	0.008471900201487836	0.06796065981393351	0	0	151.22727272727272	721.5053863184621	STC2
positive regulation of protein localization to synapse (GO:1902474)	1/5	0.008471900201487836	0.06796065981393351	0	0	151.22727272727272	721.5053863184621	WNT5A
positive regulation of transcription from RNA polymerase II promoter involved in heart development (GO:1901228)	1/5	0.008471900201487836	0.06796065981393351	0	0	151.22727272727272	721.5053863184621	GREM1
determination of dorsal/ventral asymmetry (GO:0048262)	1/5	0.008471900201487836	0.06796065981393351	0	0	151.22727272727272	721.5053863184621	GREM1
regulation of osteoblast differentiation (GO:0045667)	2/83	0.008758118474888292	0.06796065981393351	0	0	15.343364197530864	72.69339477658365	FBN2;GREM1
regulation of interferon-gamma production (GO:0032649)	2/86	0.009376849224023898	0.06796065981393351	0	0	14.793154761904763	69.07680592717206	TNFSF4;PDCD1LG2
sensory perception of mechanical stimulus (GO:0050954)	2/88	0.009799911768340218	0.06796065981393351	0	0	14.44767441860465	66.82601170344869	CEMIP;COL11A1
positive regulation of neuron projection development (GO:0010976)	2/88	0.009799911768340218	0.06796065981393351	0	0	14.44767441860465	66.82601170344869	BDNF;WNT5A
positive regulation of inflammatory response (GO:0050729)	2/89	0.010014593620189471	0.06796065981393351	0	0	14.280890804597702	65.74510676554311	TNFSF4;WNT5A
negative regulation of cardiac muscle tissue growth (GO:0055022)	1/6	0.010157908740538318	0.06796065981393351	0	0	120.97575757575757	555.2185648964451	TBX5
regulation of type 2 immune response (GO:0002828)	1/6	0.010157908740538318	0.06796065981393351	0	0	120.97575757575757	555.2185648964451	TNFSF4
positive regulation of gap junction assembly (GO:1903598)	1/6	0.010157908740538318	0.06796065981393351	0	0	120.97575757575757	555.2185648964451	TBX5
negative regulation of monocyte chemotaxis (GO:0090027)	1/6	0.010157908740538318	0.06796065981393351	0	0	120.97575757575757	555.2185648964451	GREM1
cardiac ventricle formation (GO:0003211)	1/6	0.010157908740538318	0.06796065981393351	0	0	120.97575757575757	555.2185648964451	TBX5
positive regulation of non-membrane spanning protein tyrosine kinase activity (GO:1903997)	1/6	0.010157908740538318	0.06796065981393351	0	0	120.97575757575757	555.2185648964451	BDNF
regulation of hormone biosynthetic process (GO:0046885)	1/6	0.010157908740538318	0.06796065981393351	0	0	120.97575757575757	555.2185648964451	STC2
regulation of immunoglobulin mediated immune response (GO:0002889)	1/6	0.010157908740538318	0.06796065981393351	0	0	120.97575757575757	555.2185648964451	TNFSF4
positive regulation of receptor binding (GO:1900122)	1/6	0.010157908740538318	0.06796065981393351	0	0	120.97575757575757	555.2185648964451	BDNF
positive regulation of T-helper 2 cell differentiation (GO:0045630)	1/6	0.010157908740538318	0.06796065981393351	0	0	120.97575757575757	555.2185648964451	TNFSF4
sensory perception of sound (GO:0007605)	2/91	0.01045022193516754	0.06796065981393351	0	0	13.958567415730338	63.6668693931801	CEMIP;COL11A1
glycosaminoglycan biosynthetic process (GO:0006024)	2/97	0.011806700935729659	0.06796065981393351	0	0	13.073026315789473	58.032314670661705	CEMIP;GALNT5
positive regulation of cardiac muscle cell differentiation (GO:2000727)	1/7	0.011841135434323054	0.06796065981393351	0	0	100.8080808080808	447.2023640851642	GREM1
regulation of T-helper 1 cell differentiation (GO:0045625)	1/7	0.011841135434323054	0.06796065981393351	0	0	100.8080808080808	447.2023640851642	TNFSF4
positive regulation of cilium movement (GO:0003353)	1/7	0.011841135434323054	0.06796065981393351	0	0	100.8080808080808	447.2023640851642	PGAM4
positive regulation of cilium-dependent cell motility (GO:2000155)	1/7	0.011841135434323054	0.06796065981393351	0	0	100.8080808080808	447.2023640851642	PGAM4
regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation (GO:0003256)	1/7	0.011841135434323054	0.06796065981393351	0	0	100.8080808080808	447.2023640851642	GREM1
regulation of atrial cardiac muscle cell membrane depolarization (GO:0060371)	1/7	0.011841135434323054	0.06796065981393351	0	0	100.8080808080808	447.2023640851642	TBX5
regulation of bone remodeling (GO:0046850)	1/7	0.011841135434323054	0.06796065981393351	0	0	100.8080808080808	447.2023640851642	GREM1
regulation of vesicle size (GO:0097494)	1/7	0.011841135434323054	0.06796065981393351	0	0	100.8080808080808	447.2023640851642	RAB3B
positive regulation of flagellated sperm motility (GO:1902093)	1/7	0.011841135434323054	0.06796065981393351	0	0	100.8080808080808	447.2023640851642	PGAM4
cardiac pacemaker cell development (GO:0060926)	1/7	0.011841135434323054	0.06796065981393351	0	0	100.8080808080808	447.2023640851642	TBX5
hyaluronan biosynthetic process (GO:0030213)	1/7	0.011841135434323054	0.06796065981393351	0	0	100.8080808080808	447.2023640851642	CEMIP
cellular response to prostaglandin E stimulus (GO:0071380)	1/7	0.011841135434323054	0.06796065981393351	0	0	100.8080808080808	447.2023640851642	TNFSF4
maintenance of protein location in extracellular region (GO:0071694)	1/7	0.011841135434323054	0.06796065981393351	0	0	100.8080808080808	447.2023640851642	FBN2
regulation of morphogenesis of an epithelium (GO:1905330)	1/7	0.011841135434323054	0.06796065981393351	0	0	100.8080808080808	447.2023640851642	ADAMTS12
positive regulation of type I interferon-mediated signaling pathway (GO:0060340)	1/7	0.011841135434323054	0.06796065981393351	0	0	100.8080808080808	447.2023640851642	WNT5A
regulation of non-membrane spanning protein tyrosine kinase activity (GO:1903995)	1/7	0.011841135434323054	0.06796065981393351	0	0	100.8080808080808	447.2023640851642	BDNF
positive regulation of defense response (GO:0031349)	2/98	0.012039937445569573	0.06796065981393351	0	0	12.936197916666666	57.17186348229599	TNFSF4;WNT5A
proteolysis (GO:0006508)	3/287	0.012600691397270119	0.06796065981393351	0	0	6.706724216265334	29.335235824106935	MMP1;ADAMTS12;CPA4
adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway (GO:0007197)	1/8	0.013521584565055974	0.06796065981393351	0	0	86.40259740259741	371.8308142207318	CHRM2
excitatory synapse assembly (GO:1904861)	1/8	0.013521584565055974	0.06796065981393351	0	0	86.40259740259741	371.8308142207318	WNT5A
positive regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043372)	1/8	0.013521584565055974	0.06796065981393351	0	0	86.40259740259741	371.8308142207318	TNFSF4
forebrain neuron development (GO:0021884)	1/8	0.013521584565055974	0.06796065981393351	0	0	86.40259740259741	371.8308142207318	WNT5A
regulation of T-helper 2 cell differentiation (GO:0045628)	1/8	0.013521584565055974	0.06796065981393351	0	0	86.40259740259741	371.8308142207318	TNFSF4
regulation of alpha-beta T cell proliferation (GO:0046640)	1/8	0.013521584565055974	0.06796065981393351	0	0	86.40259740259741	371.8308142207318	TNFSF4
negative regulation of neural precursor cell proliferation (GO:2000178)	1/8	0.013521584565055974	0.06796065981393351	0	0	86.40259740259741	371.8308142207318	WNT5A
regulation of collateral sprouting (GO:0048670)	1/8	0.013521584565055974	0.06796065981393351	0	0	86.40259740259741	371.8308142207318	BDNF
cell migration involved in heart development (GO:0060973)	1/8	0.013521584565055974	0.06796065981393351	0	0	86.40259740259741	371.8308142207318	TBX5
negative regulation of osteoblast proliferation (GO:0033689)	1/8	0.013521584565055974	0.06796065981393351	0	0	86.40259740259741	371.8308142207318	GREM1
regulation of dopamine uptake involved in synaptic transmission (GO:0051584)	1/8	0.013521584565055974	0.06796065981393351	0	0	86.40259740259741	371.8308142207318	RAB3B
sequestering of BMP from receptor via BMP binding (GO:0038098)	1/8	0.013521584565055974	0.06796065981393351	0	0	86.40259740259741	371.8308142207318	GREM1
positive regulation of neuron projection arborization (GO:0150012)	1/8	0.013521584565055974	0.06796065981393351	0	0	86.40259740259741	371.8308142207318	WNT5A
postsynapse organization (GO:0099173)	1/8	0.013521584565055974	0.06796065981393351	0	0	86.40259740259741	371.8308142207318	WNT5A
positive regulation of protein serine/threonine kinase activity (GO:0071902)	2/106	0.013978154996781995	0.06863416049455315	0	0	11.936298076923077	50.971090560576506	CEMIP;WNT5A
peptidyl-lysine modification (GO:0018205)	2/106	0.013978154996781995	0.06863416049455315	0	0	11.936298076923077	50.971090560576506	LOX;LOXL2
regulation of interleukin-6 production (GO:0032675)	2/110	0.014994746153758943	0.06863416049455315	0	0	11.491898148148149	48.26660882339106	TNFSF4;WNT5A
bundle of His cell to Purkinje myocyte communication (GO:0086069)	1/9	0.01519926045554118	0.06863416049455315	0	0	75.59848484848484	316.4936999007962	TBX5
negative regulation of leukocyte proliferation (GO:0070664)	1/9	0.01519926045554118	0.06863416049455315	0	0	75.59848484848484	316.4936999007962	GREM1
negative regulation of pathway-restricted SMAD protein phosphorylation (GO:0060394)	1/9	0.01519926045554118	0.06863416049455315	0	0	75.59848484848484	316.4936999007962	GREM1
positive regulation of macrophage cytokine production (GO:0060907)	1/9	0.01519926045554118	0.06863416049455315	0	0	75.59848484848484	316.4936999007962	WNT5A
