Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cAMP signaling pathway	3/216	0.005809069479492576	0.201812196906134	0	0	8.974557019536574	46.20402493066531	CHRM2;OXTR;BDNF
Calcium signaling pathway	3/240	0.0077620075733128464	0.201812196906134	0	0	8.055941200489995	39.13990528364077	CHRM2;FGF5;OXTR
Neuroactive ligand-receptor interaction	3/341	0.019898256227641676	0.22938790841031004	0	0	5.619774766176751	22.013349990847125	CHRM2;OXTR;F2RL2
PI3K-Akt signaling pathway	3/354	0.021939800350854473	0.22938790841031004	0	0	5.408050730631376	20.655795176008038	CHRM2;FGF5;BDNF
Breast cancer	2/147	0.025813936827133236	0.22938790841031004	0	0	8.54353448275862	31.242345009740973	FGF5;WNT5A
Gastric cancer	2/149	0.026467835585805007	0.22938790841031004	0	0	8.426445578231293	30.60337600423662	FGF5;WNT5A
Regulation of actin cytoskeleton	2/218	0.052818413580098394	0.290507631997006	0	0	5.714699074074074	16.806332259440044	CHRM2;FGF5
Ras signaling pathway	2/232	0.058969335317182014	0.290507631997006	0	0	5.363043478260869	15.18136941736644	FGF5;BDNF
Mucin type O-glycan biosynthesis	1/36	0.05946414661556277	0.290507631997006	0	0	17.256277056277057	48.70380102145059	GALNT5
Pathways in cancer	3/531	0.06068523510081114	0.290507631997006	0	0	3.562683284457478	9.982833991597317	FGF5;MMP1;WNT5A
Glycine, serine and threonine metabolism	1/40	0.06585543955628825	0.290507631997006	0	0	15.483294483294483	42.119101454344644	PGAM4
Bladder cancer	1/41	0.06744666449296668	0.290507631997006	0	0	15.095454545454546	40.703657605291774	MMP1
Other types of O-glycan biosynthesis	1/47	0.07693891322048374	0.290507631997006	0	0	13.122529644268775	33.655922697718275	GALNT5
Cocaine addiction	1/49	0.080082106093531	0.290507631997006	0	0	12.57449494949495	31.746863166533927	BDNF
MAPK signaling pathway	2/294	0.08887290034629063	0.290507631997006	0	0	4.211044520547945	10.193035459219573	FGF5;BDNF
Cytokine-cytokine receptor interaction	2/295	0.08938696369138646	0.290507631997006	0	0	4.1964590443686	10.133527164904525	TNFSF4;TNFRSF11B
Basal cell carcinoma	1/63	0.1017954137512644	0.29344368478922456	0	0	9.728250244379277	22.227011088447156	WNT5A
Glycolysis / Gluconeogenesis	1/67	0.10790729825957934	0.29344368478922456	0	0	9.13682277318641	20.34297847612108	PGAM4
Central carbon metabolism in cancer	1/70	0.11246470247248325	0.29344368478922456	0	0	8.738252086078173	19.094093242672443	PGAM4
Melanoma	1/72	0.11549040925582522	0.29344368478922456	0	0	8.491250533504054	18.328939891769167	FGF5
PPAR signaling pathway	1/74	0.11850610347257144	0.29344368478922456	0	0	8.257783312577834	17.612124390060146	MMP1
Complement and coagulation cascades	1/85	0.13491487818745393	0.29623874971358416	0	0	7.172438672438672	14.367192460983778	F2RL2
Taste transduction	1/86	0.1363917975983422	0.29623874971358416	0	0	7.0877005347593585	14.12028477327799	SCN9A
Rheumatoid arthritis	1/93	0.1466619251080492	0.29623874971358416	0	0	6.546113306982872	12.56608387020979	MMP1
IL-17 signaling pathway	1/94	0.14811937485679208	0.29623874971358416	0	0	6.4753991528185075	12.366307690734349	MMP1
TGF-beta signaling pathway	1/94	0.14811937485679208	0.29623874971358416	0	0	6.4753991528185075	12.366307690734349	GREM1
Melanogenesis	1/101	0.1582540881213493	0.2991752944722147	0	0	6.02	11.098191377587193	WNT5A
Protein digestion and absorption	1/103	0.16112816091877621	0.2991752944722147	0	0	5.90136660724896	10.773270497622093	COL11A1
Glucagon signaling pathway	1/107	0.1668477603787351	0.2991752944722147	0	0	5.677530017152659	10.166602529212769	PGAM4
Cholinergic synapse	1/113	0.1753562518555918	0.3022657941322654	0	0	5.371753246753247	9.351876727319317	CHRM2
Neurotrophin signaling pathway	1/119	0.18378038148185852	0.3022657941322654	0	0	5.0970724191063175	8.634511084636353	BDNF
Pathways of neurodegeneration	2/475	0.19297894620501552	0.3022657941322654	0	0	2.575713530655391	4.237497403562482	BDNF;WNT5A
Osteoclast differentiation	1/127	0.19488272597929399	0.3022657941322654	0	0	4.7715247715247715	7.80314789859015	TNFRSF11B
Relaxin signaling pathway	1/129	0.19763532693263508	0.3022657941322654	0	0	4.696496212121212	7.614578326771785	MMP1
Signaling pathways regulating pluripotency of stem cells	1/143	0.21664939505598066	0.30893069419554336	0	0	4.230473751600512	6.470403515754424	WNT5A
Cell adhesion molecules	1/148	0.22333356081713476	0.30893069419554336	0	0	4.085549371263657	6.124601454172748	PDCD1LG2
mTOR signaling pathway	1/154	0.23128150921249838	0.30893069419554336	0	0	3.92414339473163	5.745415476473259	WNT5A
Oxytocin signaling pathway	1/154	0.23128150921249838	0.30893069419554336	0	0	3.92414339473163	5.745415476473259	OXTR
Cushing syndrome	1/155	0.2325984693579306	0.30893069419554336	0	0	3.898465171192444	5.685683857821177	WNT5A
Hippo signaling pathway	1/163	0.24305560810857574	0.30893069419554336	0	0	3.7044519266741487	5.239817675473846	WNT5A
Wnt signaling pathway	1/166	0.2469412681410595	0.30893069419554336	0	0	3.6365472910927457	5.0860923201364825	WNT5A
Hepatocellular carcinoma	1/168	0.24952094531178504	0.30893069419554336	0	0	3.5926329159862096	4.987337627893559	WNT5A
