Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
abnormal dendritic cell antigen presentation MP:0002455	3/31	1.9529163036981646E-5	0.008905298344863631	0	0	68.91013824884793	747.2340901429923	TNFSF4;TNFRSF11B;PDCD1LG2
syndactyly MP:0000564	3/64	1.7421233317265052E-4	0.02892395071886872	0	0	31.57852987837123	273.31961906608547	FBN2;GREM1;WNT5A
decreased tongue size MP:0009907	2/14	2.5201247409397716E-4	0.02892395071886872	0	0	103.92708333333333	861.1431351844819	BDNF;WNT5A
abnormal tail morphology MP:0002111	3/88	4.4625037847192354E-4	0.02892395071886872	0	0	22.634914611005694	174.61999983330722	FBN2;COL11A1;WNT5A
abnormal limb morphology MP:0002109	3/89	4.612821969683686E-4	0.02892395071886872	0	0	22.37059264816204	171.83971998392323	GREM1;COL11A1;WNT5A
increased diameter of long bones MP:0008151	2/20	5.228284778315545E-4	0.02892395071886872	0	0	69.26388888888889	523.3757526021546	COL11A1;TNFRSF11B
abnormal kidney morphology MP:0002135	5/401	5.446178276032686E-4	0.02892395071886872	0	0	8.520550330895158	64.0355675619176	FBN2;GREM1;LOX;WNT5A;TNFRSF11B
abnormal digit morphology MP:0002110	3/95	5.583272304255313E-4	0.02892395071886872	0	0	20.905329593267883	156.59273712656605	FBN2;GREM1;TBX5
abnormal zygomatic bone morphology MP:0005270	2/21	5.772480755165086E-4	0.02892395071886872	0	0	65.61513157894737	489.3076816935412	FBN2;COLEC10
abnormal fibula morphology MP:0002187	2/22	6.342971648874719E-4	0.02892395071886872	0	0	62.33125	458.94455736927694	FBN2;GREM1
abnormal carpal bone morphology MP:0000554	2/24	7.56249572304744E-4	0.03134998227008757	0	0	56.65909090909091	407.2167684458615	FBN2;TBX5
shortened head MP:0000435	2/26	8.886174067263165E-4	0.03376746145560003	0	0	51.932291666666664	364.8681683209649	BDNF;COL11A1
abnormal bone remodeling MP:0002998	2/34	0.0015208882749764513	0.049537503813518693	0	0	38.93359375	252.61909386699574	FBN2;TNFRSF11B
abnormal hair cycle MP:0000427	2/34	0.0015208882749764513	0.049537503813518693	0	0	38.93359375	252.61909386699574	FGF5;BDNF
increased tumor growth/size MP:0003721	2/37	0.0017997945538918974	0.05471375443831368	0	0	35.59107142857143	224.9385168502885	PDCD1LG2;ADAMTS12
decreased body size MP:0001265	6/805	0.002137836918086593	0.0609283521654679	0	0	5.140443411407116	31.603244315905787	FBN2;BDNF;SCN9A;WNT5A;TNFRSF11B;FOXL1
pulmonary hypoplasia MP:0001178	2/46	0.0027703460352971167	0.07230879611351176	0	0	28.298295454545453	166.6425224495213	LOX;WNT5A
postnatal lethality, incomplete penetrance MP:0011086	5/587	0.0029450363444811834	0.07230879611351176	0	0	5.742386538689418	33.4645277281171	BDNF;SCN9A;TNFRSF11B;FOXL1;TBX5
abnormal tibia morphology MP:0000558	2/48	0.003012866504729657	0.07230879611351176	0	0	27.065217391304348	157.1098878516162	FBN2;GREM1
